0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:41:12 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:06 +0900] "GET /theater/login_logout/mypage.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:52 +0900] "GET /theater/login_logout/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:52 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:52 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:54 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3052
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:55 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:43:24 +0900] "GET /theater/login_logout/show.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:57 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:54:59 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1454
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:54:59 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:55:02 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:24 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:24 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 200 6698
0:0:0:0:0:0:0:1 - - [05/Jun/2018:19:51:24 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 2938
