id,name,group,height,weight,life_span
193,"Tibetan Spaniel"," Companion Dogs"," From 10 inches tall at the shoulder"," 9 to 15 pounds"," 12 to 15 years"
194,"Tibetan Terrier"," Companion Dogs"," 1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder"," 20 to 24 pounds"," 12 to 15 years"
195,"Toy Fox Terrier"," Companion Dogs"," 8 inches to 11 inches tall at the shoulder"," 3 to 7 pounds"," 13 to 14 years"
196,"Treeing Tennessee Brindle"," Hound Dogs"," 1 foot, 4 inches to 2 feet tall at the shoulder"," 30 to 45 pounds"," 10 to 12 years"
197,"Treeing Walker Coonhound"," Hound Dogs"," 1 foot, 8 inches to 2 feet, 3 inches tall at the shoulder"," 45 to 80 pounds"," 12 to 13 years"
198,Vizsla," Sporting Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 45 to 65 pounds"," 10 to 14 years"
199,Weimaraner," Sporting Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 55 to 85 pounds"," 11 to 13 years"
200,"Welsh Springer Spaniel"," Sporting Dogs"," 1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder"," 35 to 55 pounds"," 10 to 15 years"
201,"Welsh Terrier"," Terrier Dogs"," 1 foot, 2 inches to 1 foot, 3 inches tall at the shoulder"," Up to 20 pounds"," 10 to 14 years"
202,"West Highland White Terrier"," Terrier Dogs"," 10 inches to 11 inches tall at the shoulder"," 13 to 22 pounds"," 12 to 16 years"
203,Whippet," Hound Dogs"," 1 foot, 6 inches to 1 foot, 10 inches tall at the shoulder"," 18 to 48 pounds"," 12 to 15 years"
204,"Wirehaired Pointing Griffon"," Sporting Dogs"," 1 foot, 8 inches to 2 feet tall at the shoulder"," 50 to 60 pounds"," 10 to 14 years"
205,Yorkipoo," Hybrid Dogs"," 7 inches to 1 foot, 3 inches tall at the shoulder"," 3 to 14 pounds"," 10 to 15 years"
206,"Yorkshire Terrier"," Companion Dogs"," 8 inches to 9 inches tall at the shoulder"," 4 to 6 pounds"," 12 to 15 years"
