id,name,group,height,weight,life_span
129,"Lhasa Apso"," Companion Dogs"," 9 inches to 11 inches tall at the shoulder"," 12 to 15 pounds"," 12 to 15 years"
130,Lowchen," Companion Dogs"," 1 foot to 1 foot, 2 inches tall at the shoulder"," 9 to 18 pounds"," 13 to 15 years"
131,Maltese," Companion Dogs"," 8 inches to 10 inches tall at the shoulder"," Up to 7 pounds"," 12 to 15 years"
132,"Maltese Shih Tzu"," Hybrid Dogs"," From 10 inches tall at the shoulder"," 6 to 12 pounds"," 12 to 14 years"
133,Maltipoo," Hybrid Dogs"," 8 inches to 1 foot, 2 inches tall at the shoulder"," 5 to 20 pounds"," 10 to 13 years"
134,"Manchester Terrier"," Terrier Dogs"," 1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder"," 12 to 22 pounds"," 14 to 16 years"
135,Mastiff," Working Dogs"," 2 feet, 3 inches to 2 feet, 8 inches tall at the shoulder"," 130 to 220 pounds"," 6 to 10 years"
136,"Miniature Pinscher"," Companion Dogs"," 10 inches to 1 foot tall at the shoulder"," 8 to 11 pounds"," 10 to 14 years"
137,"Miniature Schnauzer"," Terrier Dogs"," 1 foot to 1 foot, 2 inches tall at the shoulder"," 11 to 20 pounds"," 12 to 14 years"
138,Mutt," Mixed Breed Dogs",NULL,NULL," 8 to 15 years"
139,"Neapolitan Mastiff"," Working Dogs"," 2 feet to 2 feet, 7 inches tall at the shoulder"," 120 to 200 pounds"," 8 to 10 years"
140,Newfoundland," Working Dogs"," 2 feet, 1 inch to 2 feet, 5 inches tall at the shoulder"," 100 to 150 pounds"," 8 to 10 years"
141,"Norfolk Terrier"," Terrier Dogs"," 9 inches to 10 inches tall at the shoulder"," 11 to 12 pounds"," 12 to 15 years"
142,"Norwegian Buhund"," Herding Dogs"," 1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder"," 26 to 40 pounds"," 12 to 15 years"
143,"Norwegian Elkhound"," Hound Dogs"," 1 foot, 7 inches to 1 foot, 8 inches tall at the shoulder",NULL," 12 to 15 years"
144,"Norwegian Lundehund"," Working Dogs"," 1 foot to 1 foot, 3 inches tall at the shoulder"," 13 to 16 pounds"," 10 to 12 years"
145,"Norwich Terrier"," Terrier Dogs"," Up to 10 inches tall at the shoulder"," Up to 12 pounds"," 10 to 14 years"
146,"Old English Sheepdog"," Herding Dogs"," From 1 foot, 9 inches tall at the shoulder",NULL," 10 to 12 years"
147,Otterhound," Hound Dogs"," 2 feet to 2 feet, 3 inches tall at the shoulder",NULL," 10 to 12 years"
148,Papillon," Companion Dogs"," 8 inches to 11 inches tall at the shoulder"," 4 to 9 pounds"," 12 to 16 years"
